# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle[...]
labiot72;60;2021-10-14 01:07:01 UTC;-1;10.87;0.02;13.21;0.48;0.00;75.42
labiot72;60;2021-10-14 01:08:01 UTC;-1;9.90;0.01;12.68;0.41;0.00;77.00
labiot72;60;2021-10-14 01:09:01 UTC;-1;10.30;0.00;12.99;0.39;0.00;76.32
labiot72;58;2021-10-14 01:10:00 UTC;-1;10.47;0.01;13.16;0.53;0.00;75.82
labiot72;2;2021-10-14 01:10:01 UTC;-1;8.32;0.00;10.89;0.30;0.00;80.48
labiot72;60;2021-10-14 01:11:01 UTC;-1;10.36;0.00;12.82;0.58;0.00;76.24
labiot72;60;2021-10-14 01:12:02 UTC;-1;10.68;0.01;13.32;0.45;0.00;75.55
labiot72;59;2021-10-14 01:13:01 UTC;-1;10.54;0.01;13.19;0.40;0.00;75.86
labiot72;60;2021-10-14 01:14:01 UTC;-1;10.29;0.00;12.67;0.43;0.00;76.61
labiot72;60;2021-10-14 01:15:01 UTC;-1;10.30;0.01;12.74;0.38;0.00;76.57
labiot72;60;2021-10-14 01:16:01 UTC;-1;10.47;0.01;14.23;0.52;0.00;74.76
labiot72;60;2021-10-14 01:17:01 UTC;-1;10.27;0.01;12.80;0.44;0.00;76.47
labiot72;60;2021-10-14 01:18:01 UTC;-1;10.16;0.02;13.14;0.44;0.00;76.24
labiot72;60;2021-10-14 01:19:01 UTC;-1;10.38;0.01;12.74;0.49;0.00;76.38
labiot72;59;2021-10-14 01:20:00 UTC;-1;10.41;0.00;12.65;0.42;0.00;76.52
labiot72;1;2021-10-14 01:20:01 UTC;-1;14.43;0.00;22.09;0.35;0.00;63.13
labiot72;60;2021-10-14 01:21:01 UTC;-1;10.35;0.01;12.68;0.40;0.00;76.57
labiot72;60;2021-10-14 01:22:01 UTC;-1;10.69;0.02;13.09;0.46;0.00;75.75
labiot72;60;2021-10-14 01:23:01 UTC;-1;10.22;0.01;13.35;0.39;0.00;76.03
labiot72;60;2021-10-14 01:24:01 UTC;-1;10.56;0.00;12.60;0.42;0.00;76.41
labiot72;60;2021-10-14 01:25:02 UTC;-1;10.42;0.02;13.18;0.45;0.00;75.92
labiot72;59;2021-10-14 01:26:01 UTC;-1;10.34;0.01;13.07;0.43;0.00;76.16
labiot72;60;2021-10-14 01:27:01 UTC;-1;10.25;0.01;12.58;0.41;0.00;76.75
labiot72;60;2021-10-14 01:28:01 UTC;-1;10.33;0.00;12.99;0.51;0.00;76.17
labiot72;60;2021-10-14 01:29:01 UTC;-1;10.61;0.01;13.17;0.50;0.00;75.72
labiot72;59;2021-10-14 01:30:00 UTC;-1;9.84;0.01;12.75;0.43;0.00;76.97
